,English,Gaeilge
369,They put the stones together.,Chuir siad na gréithe le chéile.
370,I contacted the doctor.,Chuir mé fios ar an dochtúir.
371,He wrote a letter to his friend.,Scríobh sé litir chuig a chara.
372,I woke up early yesterday.,D'éirigh mé go moch inné.
373,The game started at eight o'clock.,Thosaigh an t-imirt ag a hocht a chlog.
374,They left the lies out.,D'fhág siad na bréaga amach.
375,I drank a cup of tea with my friends.,D'ól mé cupán tae le mo chairde.
376,I saw him walking around the city.,Chonaic mé é ag siúl timpeall na cathrach.
377,He left the room too quickly.,D'fhág sé an seomra róluath.
378,We took the new hats.,Thógamar na hataí nua.
379,The weather was great for the weekend.,Bhí an aimsir go hiontach ar feadh an deireadh seachtaine.
380,I bought apples at the shop.,Cheannaigh mé úlla ag an siopa.
381,I learned the fiddle for a long time.,D'fhoghlaim mé an bhfidil le fada.
382,I listened to the sounds from the ceilí.,D'éist mé leis an bhfuaimeanna ón gcéilí.
383,She broke the knife in the bathroom.,Bhris sí an scian sa seomra folctha.
384,We ate lunch at home.,D'ith muid lón sa bhaile.
385,He opened the box and got a backache on the ground.,D'oscail sé an bosca agus fuair sé droim ar an talamh.
386,The hill fell on the man of the land.,Thit an cnoc ar fhear na tíre.
387,They left without permission.,Rinne siad imeacht gan choinne.
388,The train could be slow ahead.,D'fhéadfadh an traenach a bheith mall ar aghaidh.
389,He bought new books at the bookshop.,Cheannaigh sé leabhair nua sa siopa leabhar.
390,They started working on the field.,Thosaigh siad ag obair ar an bpáirc.
391,They left the house in the morning.,D'fhág siad an teach ar maidin.
392,The weather changed suddenly.,D'athraigh an aimsir go tobann.
393,He left his coat in the bathroom.,D'fhág sé a chóta sa seomra folctha.
394,We played games together on the first day of summer.,D'imir muid cluichí le chéile ar an gcéad lá den tsamhradh.
395,I provided the material for the exam.,Chuir mé an t-ábhar ar fáil don scrúdú.
396,They left the house without hassle.,D'fhág siad an teach gan stró.
397,The children started dancing at the school party.,Thosaigh na páistí ag damhsa ag an bpáirtí scoile.
398,He opened the door for the staff.,D'oscail sé an doras don bhfoireann.
399,I saw a cat walking on the wall.,Chonaic mé cat ag siúl ar an mballa.
400,I don't know what they're doing.,Níl a fhios agam cad atá á dhéanamh acu.
401,The food was delicious.,Bhí an bia blasta go hiontach.
402,I drank a glass of water for the thirst.,D'ith mé gloine uisce le haghaidh an tart.
403,The weather could be dry throughout the day.,D'fhéadfadh an aimsir a bheith tirim i rith an lae.
404,I bought a new school bag.,Cheannaigh mé mála scoile nua.
405,The plants were growing well in the local garden.,Bhí na plandaí ag fás go hiontach i ngairdín na háite.
406,I learned the new song shortly.,D'fhoghlaim mé an amhrán nua le gairid.
407,They played football together on Sunday.,D'imir siad peil le chéile ar an Domhnach.
408,The house was watching the sunset for three hours.,Bhí an teach ag faire na gréine trí uair an chloig.
409,He opened the newspaper and read about the politicians.,D'oscail sé an páipéar nuachta agus léigh sé faoi na polaiteoirí.
410,I heard the story that it was getting hotter.,Chuala mé an scéal go raibh sé ag éirí níos teo.
411,They left the school after the summer.,D'fhág siad teach na scoile tar éis an tsamhraidh.
412,The lecture started at eight o'clock in the afternoon.,Thosaigh an léacht ag a hocht a chlog tráthnóna.
413,They went for a walk around the park.,Chuaigh siad ag spaisteoireacht timpeall an pháirce.
414,The bus could be slow.,D'fhéadfadh an bus a bheith mall.
415,They bought new clothes for Easter.,Cheannaigh siad éadaí nua don Cháisc.
416,The sun was splitting the stones.,Bhí an ghrian ag scoilteadh na gcloch.
417,I learned interesting things about the weather.,D'fhoghlaim mé rudaí suimiúla faoin árthach.
418,The plans changed suddenly.,D'athraigh na pleananna go tobann.
419,I was lucky in that game.,Bhí an t-ádh dearg orm sa chluiche sin.
420,It could be late for the meeting.,D'fhéadfadh sé bheith déanach don gcruinniú.
421,They left the city house early.,D'fhág siad teach na cathrach go luath.
422,The dog grew very cold.,D'fhás an madra an-oighear.
423,The bus could be dirty.,D'fhéadfadh sé bheith doirte ar an mbus.
424,They played cards for an hour.,D'imir siad cluiche cártaí ar feadh uair an chloig.
425,The sea was splashing on the shore.,Bhí an fharraige ag spalpadh ar an gcé.
426,I wasn't able to answer the question.,Ní raibh mé ábalta an cheist a fhreagairt.
427,I heard the story about the trips to Africa.,Chuala mé an scéal faoi na turais chun an Afraic.
428,We ate fast food in the kitchen.,D'itheamar bia itheacháin sa chistin.
429,They returned to the city after the holidays.,D'fhill siad ar an gcathair tar éis na laethanta saoire.
430,He started talking about his friends.,Thosaigh sé ag caint faoina chuid cairde.
431,The wind was blowing strongly.,Bhí an ghaoth ag séideadh go láidir.
432,I ordered a glass of wine for the meal.,D'ordaigh mé gloine fíona don bhfraochán.
433,The house was very clean.,Bhí an teach glan go maith.
434,The day could be windy.,D'fhéadfadh an lá a bheith gaofar.
435,They left the house at midnight.,D'fhág siad an teach ag meán oíche.
436,He asked us about the hedgehog.,Chuir sé an ceist dúinn faoin imeallán.
437,I saw that movie before.,Chonaic mé an scannán sin roimhe seo.
438,They opened a new shop in the city centre.,D'oscail siad siopa nua i lár na cathrach.
439,I never went out in that area before.,Ní dheachaigh mé amach sa cheantar sin riamh.
440,They ate fish on the boat.,D'ith siad éisc sa bhád.
441,The food could be hot.,D'fhéadfadh an bia a bheith te.
442,I saw it in the cinema yesterday.,Chonaic mé é sa phictiúrlann inné.
443,The weather was lovely here last night.,Bhí an aimsir go hálainn anseo aréir.
444,He said he's going on holiday soon.,Dúirt sé go bhfuil sé ag dul ar saoire go luath.
445,The money was in doubt.,Bhí an t-airgead thar amhras.
446,They ate sugar in everything.,D'ith siad siúcra i ngach rud.
447,They came back from the shop with meat.,Tháinig siad ar ais ón siopa le feoil.
448,The day could be cloudy.,D'fhéadfadh an lá a bheith scamallach.
449,They had a very big house.,Bhí an teach a bhíodh acu sách mór.
450,They ate the food on the train.,D'itheadh siad an bia ar an traein.
451,The trip could be long.,D'fhéadfadh an turas a bheith fada.
452,He ate a sandwich and a cup of tea in the café.,D'ith sé ceapaire agus cupán tae sa chafé.
453,I heard that story before.,Chuala mé an scéal sin roimhe seo.
454,I never heard about that hedgehog before.,Níor chualathas faoin imeallán sin riamh cheana.
455,I ordered meat for the meal.,D'ordaigh mé feoil don mbéile.
456,The room fell together with the bed to the ground.,Thit an seomra in éineacht leis an tolg leis an talamh.
457,They asked me about the place where they bought the book.,Chuir siad ceist orm faoin áit ar cheannaigh siad an leabhar.
458,The weather was bad last week.,Bhí an aimsir go dona an tseachtain seo caite.
459,They ate a lot of chocolate in the shop.,D'itheadh siad an t-alán seacláide sa siopa.
460,He came home late last night.,Tháinig sé abhaile go mall aréir.
461,I never went into that room before.,Ní dheachaigh mé isteach sa seomra sin riamh.
462,She said it's great here.,Dúirt sí go bhfuil sé go hiontach anseo.
463,The world was under lock and key.,Bhí an saol faoi ghlas.
464,They drank the wine on the plate.,D'ól siad an fíon ar an mbord pláta.
465,This house was available on the market recently.,Bhí an teach seo le fáil ar an margadh le déanaí.
466,The dance could be difficult.,D'fhéadfadh an rince a bheith deacair.
467,They ate tasty food in the restaurant.,D'ith siad bia blasta sa bhialann.
468,He drank a glass of water before going to sleep.,D'ól sé gloine uisce sula ndeachaigh sé a chodladh.
469,I didn't know he had that money.,Ní raibh a fhios agam go raibh an t-airgead sin aige.
470,They ate pastries and milk in the food shop.,D'itheadh siad brioscaí agus leite sa siopa bia.
471,The wind was blowing strongly on the beach.,Bhí an ghaoth ag séideadh go láidir ar an trá.
472,The holidays could be dry.,D'fhéadfadh an laethanta saoire a bheith tirim.
473,They opened the door with the key.,D'oscail siad an doras leis an eochair.
474,The festival could be great.,D'fhéadfadh an fhéile a bheith iontach.
475,The companies were plenty at the address.,Bhí na cuideachtaí go leor ag an seoladh.
476,He ate the sandwich and soup in the restaurant.,D'ith sé an leitís agus anraith sa bhialann.
477,They drank tea in the kitchen.,D'ól siad tae sa chistin.
478,I saw this movie before.,Chonaic mé an scannán seo cheana.
479,The air is fresh today.,Tá an t-aer úr inniu.
480,Tá an cat ag codladh ar an gcófra.,The cat is sleeping on the couch.
481,That was an amazing story.,Bhí an scéala sin iontach ar fad.
482,My love for the whole family is unconditional.,Tá mo ghrá don chlann uile rómhall.
483,I am looking forward to meeting my friends again.,Táim ag súil le bualadh le mo chairde arís.
484,I love watching the sunset in the evening.,Is breá liom amharc ar an ngrian ag tráthnóna.
485,I can't help with this work at the moment.,Ní féidir liom cabhrú leis an obair seo faoi láthair.
486,I am thinking of plans for the weekend.,Táim ag smaoineamh ar imeachtaí le haghaidh an deireadh seachtaine.
487,That story was very funny.,Bhí an scéal sin fíor-ghreannmhar.
488,The food is on the table.,Tá an bia sa bhfolús ar an mbord.
489,I want to talk to you about something important.,Táim ag iarraidh caint leat faoi rud tábhachtach.
490,That story is completely false.,Tá an scéal sin go hiomlán bréagach.
491,The sun is shining brightly.,Tá an ghrian ag scoilteadh na gcloch.
492,I love going for a walk with my dog.,Is breá liom dul ar siúl le mo mhadra.
493,I don't know what will happen tomorrow.,Níl a fhios agam céard a tharlóidh amárach.
494,I am really looking forward to the next day.,Táim ag tnúth go mór leis an gcéad lá eile.
495,I love attending concerts.,Is aoibhinn liom ceolchoirmeacha a fhreastal.
496,The weather is beautiful today.,Tá an aimsir go hálainn inniu.
497,I am going to the shop for groceries.,Tá mé ag dul go dtí an siopa le haghaidh earraí bia.
498,I want to go to the cinema tonight.,Táim ag iarraidh dul go dtí an phictiúrlann anocht.
499,That information is very important.,Tá an t-eolas sin fíor-thabhachtach.
500,I am looking for new books to read.,Táim ag lorg leabhair nua le léamh.
501,I am looking forward to the first cup of tea of the day.,Táim ag tnúth leis an gcéad chupán tae den lae.
502,This beautiful view is amazing.,Tá an radharc álainn seo go hálainn.
503,I'm not sure about this thing.,Níl mé cinnte faoin rud seo.
504,The food is excellent in this restaurant.,Tá an bia ar fheabhas sa bhialann seo.
505,The door is open and everyone is welcome.,Tá an doras oscailte agus tá fáilte roimh gach duine.
506,I want to be healthier.,Táim ag iarraidh a bheith níos sláintiúla.
507,The plants are beautiful in this garden.,Tá na plandaí go hálainn san ghairdín seo.
508,I am looking forward to going on holiday soon.,Táim ag súil le dul ar saoire go luath.
509,This house is dark enough.,Tá an teach seo dorcha go leor.
510,I want to be more healthy.,Táim ag iarraidh a bheith níos folláine.
511,I love meeting new people.,Is breá liom bualadh le daoine nua.
512,The sun is setting.,Tá an ghrian ag dul faoi.
513,The sun is shining in the sky today.,Tá an ghrian ag taitneamh sa spéir inniu.
514,I was still working on the phone.,Bhí mé ag obair ar an bhfón go fóill.
515,Are you going to that area?,An bhfuil tú ag dul go dtí an cheantar sin?
516,I don't know if he's still in the other room.,Níl a fhios agam an bhfuil sé fós sa seomra eile.
517,The room is nicely decorated.,Tá an seomra suite go han-deas.
518,They were trying to get to the car.,Bhí siad ag iarraidh teacht ar an gcarr.
519,He's far too obsessed with those policies.,Tá sé i bhfad róthógtha leis na polasaí sin.
520,Those shoes go well with that shirt.,Tá na péire bróga sin go maith leis an léine sin.
521,He wasn't sure what happened.,Ní raibh sé cinnte céard a tharla.
522,This place is too crowded with tourists.,Tá an áit seo róthógtha le turasóirí.
523,He had enough time to finish his work.,Bhí an t-am aige go leor chun a chuid obair a chríochnú.
524,That window is broken.,Tá an fhuinneog sin ina ndiaidh briseadh.
525,He's ready to do his business.,Tá sé in am aige a chuid gnó a dhéanamh.
526,The apples were on the ground.,Bhí na húllanna ar an dtalamh.
527,That food is nice and tasty.,Tá an bia sin deas blasta.
528,The weather was too hot.,Bhí an aimsir róthe.
529,Those plants are growing well in the garden.,Tá na plandaí sin ag fás go maith sa ghairdín.
530,He wasn't able to go to the party.,Ní raibh sé in ann dul go dtí an chóisir.
531,The water is flowing down the hill.,Tá an t-uisce ag sileadh anuas an cnoc.
532,There was no one else there.,Ní raibh aon duine eile ann.
533,He ate the food quickly.,D'ith sé an bia go tapa.
534,I don't know what's on TV today.,Níl a fhios agam céard atá ar siúl ag an teilifís inniu.
535,The weather was beautiful yesterday.,Bhí an aimsir go hálainn inné.
536,You could say that they are very different.,D'fhéadfá a rá go bhfuil an bheirt acu an-difriúil.
537,He is leaving for a week.,Tá sé ag imeacht ar feadh seachtaine.
538,You could say he is excellent at working with people.,D'fhéadfá a rá go bhfuil sé iontach maith ag obair le daoine.
539,The bus is packed to the door.,Tá an bus lán go doras.
540,I don't know if it's right or wrong.,Níl a fhios agam an bhfuil sé ceart nó mícheart.
541,I saw a picture of the pope at the hospital yesterday.,Chonaic mé pictiúr den phápa ag an ospidéal inné.
542,I didn't know you were here.,Ní raibh a fhios agam go raibh tú anseo.
543,He is good with those things.,Tá sé go maith leis na rudaí sin.
544,I saw a movie tonight and it was great.,Chonaic mé scannán anocht agus bhí sé iontach.
545,Those places are spread all over the country.,Tá na háiteanna sin go léir scaipthe ar fud na tíre.
546,You could say she is very smart.,D'fhéadfá a rá go bhfuil sí an-chliste.
547,I heard the story from my friend.,Chuala mé an scéal ó mo chara.
548,I am going to the shop.,Tá mé ag dul go dtí an siopa.
549,I didn't see anyone there.,Ní fhaca mé éinne ansin.
550,He was very happy with the milk.,Bhí sé iontach sásta leis an mbainne.
551,He ate the sandwich slowly and lifted for a while.,D'ith sé ceapaire go mall agus ardaigh sé ar feadh tamaill.
552,He is very sick. He should go to the doctor.,Tá sé an-tinn. Ba chóir dó dul go dtí an dochtúir.
553,It's wonderful outside today.,Tá sé go hiontach amuigh inniu.
554,I ate tasty food recently.,D'ith mé bia blasta le déanaí.
555,They were talking about life.,Bhí siad ag caint faoin saol.
556,I heard beautiful music in the concert hall.,Chuala mé ceol galánta sa cheoláras.
557,It's cold in the house today.,Tá sé fuar sa teach inniu.
558,The weather was bad last night.,Bhí an aimsir go dona aréir.
559,They visited the city yesterday.,Thug siad cuairt ar an gcathair inné.
560,I met my friend on the street.,Bhuail mé le mo chara ar an tsráid.
561,That story was excellent.,Bhí an scéal sin ar fheabhas.
562,They left me a message.,D'fhág siad teachtaireacht dom.
563,I saw that movie before.,Chonaic mé an scannán sin roimhe seo.
564,The train was full to the door.,Bhí an traenach lán go doras.
565,This house is nice and peaceful.,Tá an teach seo breá suaimhneach.
566,This mobile phone is broken.,Tá an fón póca seo dodhéanta.
567,They are making progress on the job.,Tá siad ag teacht chun cinn ar an obair.
568,My heart is full of love for him.,Tá mo chroí lán súile dó.
569,I learned Irish with these conversations.,D'fhoghlaim mé Gaeilge leis na cainteanna seo.
570,He hit me hard.,Bhuail sé buille trom orm.
571,That restaurant is very good.,Tá an bhialann sin an-mhaith.
572,I went to the shop for food.,Chuaigh mé go dtí an siopa le haghaidh bia.
573,This house is beautiful.,Tá an teach seo go hálainn.
574,I was walking through the park yesterday.,Bhí mé ag siúl trí an pháirc inné.
575,Did you do your homework?,An ndearna tú do chuid obair bhaile?
576,The weather is cold today.,Tá an aimsir fuar inniu.
577,That song was beautiful.,Bhí an t-amhrán sin go hálainn.
578,I have been learning Irish for a while now.,Tá mé ag foghlaim Gaeilge le tamall anois.
579,Did you do your daily exercise?,An ndearna tú do spóirt laethúil?
580,This computer is slow.,Tá an t-inneall ríomhaire seo lag.
581,It is very sleek on the new website.,Tá sé an-ghleoite ar an láithreán gréasáin nua.
582,That money was a lot to me.,Bhí an t-airgead sin ina mhórán dom.
583,The food is on the table.,Tá an bia ar an bhfód.
584,The dog is running around the garden.,Tá an madra ag rith thart sa ghairdín.
585,The music on stage was very good.,Bhí an ceol ar an ardán an-mhaith.
586,Were you in that shop yesterday?,An raibh tú sa siopa sin inné?
587,He is speaking fluent Irish.,Tá sé ag caint as Gaeilge go líofa.
588,That game was very difficult.,Bhí an cluiche sin an-deacair.
589,This phone is late.,Tá an fón póca seo déanach.
590,The birds were singing in that place.,Bhí na héin ag canadh san áit sin.
591,The birds are coming.,Tá an teacht ag na héin.
592,The weather was beautiful at first.,Bhí an aimsir go hálainn sa gcéad dul síos.
593,I like to buy clothes online.,Is maith liom éadaí a cheannach ar líne.
594,"It's cold today, I need to wear warm clothes.","Tá sé fuar inniu, ní mór dom éadaí te a chaitheamh."
595,I have been learning Irish for a long time.,Tá mé ag foghlaim Gaeilge le fada an lá.
596,I love going shopping with my friends.,Is breá liom dul ag siopadóireacht le mo chairde.
597,The food here is very good.,Tá an bia anseo an-mhaith.
598,I love eating food in the kitchen.,Is breá liom bia ithe sa chistin.
599,I am going to the shop for a few minutes.,Tá mé ag dul go dtí an siopa ar feadh cúpla nóiméad.
600,I love those books.,Is aoibhinn liom na leabhair sin.
601,"This TV is broken, I have to buy a new one.","Tá an teilifís seo briste, caithfidh mé ceann nua a cheannach."
602,"It's dark outside, I can't see it.","Tá sé dorcha lasmuigh, ní féidir liom é a fheiceáil."
603,The weather is lovely today.,Tá an aimsir go hálainn inniu.
604,I love meeting my friend.,Is breá liom bualadh le mo chara.
605,I want to go to the shop to buy new books.,Tá mé ag iarraidh dul go dtí an siopa le leabhair nua a cheannach.
606,I love these views.,Is breá liom na radharcanna seo.
607,The window is letting in here.,Tá an fhuinneog ag scaoileadh isteach anseo.
608,This place is very interesting.,Tá an áit seo an-suimiúil.
609,"Our machine is broken, it needs to be fixed.","Tá an t-inneall againn briste, caithfear é a dheisiú."
610,I like to meet my family on the weekends.,Is maith liom bualadh le mo chlann ar an deireadh seachtaine.
611,"This class is very difficult, but I want to try.","Tá an rang seo an-deacair, ach tá mé ag iarraidh iarracht a dhéanamh."
612,I love this sport.,Is breá liom an spórt seo.
613,I am waiting to get the shillings back.,Tá mé ag fanacht leis na scillingí a fháil ar ais.
614,They are buying a house to live in.,Tá siad ag ceannach teach ina gcónaí.
615,I study every night.,Bím ag déanamh staidéir gach oíche.
616,They are learning Irish with my help.,Tá siad ag foghlaim Gaeilge le cúnamh mo chuid.
617,He is claiming that he fell ill.,Tá sé ag scaoileadh amach gur thit sé i laige.
618,They were both reading books in the library.,Bhí an bheirt acu ag léamh leabhair sa leabharlann.
619,I went shopping on the way home.,Chuaigh mé ag siopadóireacht ar an mbealach abhaile.
620,She said she was going to the airport tomorrow.,Dúirt sí go raibh sí ag dul go dtí an t-aerfort amárach.
621,The train had left by the time I arrived there.,Bhí an traein caite ag an am a bhí mé ann.
622,He found out that the girl was alone in the house.,Fuair sé amach go raibh an cailín ina aonar sa teach.
623,I saw my friend sending an email from the office.,Chonaic mé mo chara ag seoladh ríomhphoist ón oifig.
624,I ate a sandwich and knocked over a box of glassware.,D'ith mé ceapaire agus bhuail mé bosca gloine deoch.
625,I attended the concert last night.,D'fhreastal mé ar an cheolchoirm oíche inné.
626,"The weather was lovely yesterday, but it's raining today.","Bhí an aimsir go hálainn inné, ach tá sé ag cur báistí inniu."
627,He said he was about to leave the house.,Dúirt sé go raibh sé ar tí an teach a fhágáil.
628,He called his brother on the phone.,Chuir sé glaoch ar an bhfón ar a dheartháir.
629,I have finished my work for the day.,Tá mo chuid oibre críochnaithe agam don lá.
630,"Luckily, the house was empty.",Bhí an t-ádh liom go raibh an teach folamh.
631,She told me that she is preparing for an exam.,Dúirt sí liom go bhfuil sí ag ullmhú do scrúdú.
632,I went on a trip to the sea.,Chuaigh mé ar turas go dtí an fharraige.
633,The dog was expecting me when I arrived at the house.,Bhí an madra ag súil leis nuair a shroich mé an teach.
634,They found out that the library club is closed for the week.,Fuair siad amach go bhfuil an club leabharlainne dúnta ar feadh na seachtaine.
635,I learned the first part of the song in Irish.,D'fhoghlaim mé an chéad chuid den amhrán i nGaeilge.
636,I visited the bank to cause harm.,Chuaigh mé ar cuairt chuig an mbanc le dochar a dhéanamh.
637,He told me he would be here before the end of the day.,Dúirt sé liom go mbeidh sé anseo roimh dheireadh an lae.
638,The weather is getting worse.,Tá an aimsir ag dul in olcas.
639,I am lucky.,Bíonn an t-ádh dearg agam.
640,I love meeting friends.,Is breá liom bualadh le cairde.
641,I ate bread and honey for my dinner.,D'ith mé arán agus mil le mo dhinnéar.
642,I am looking forward to the summer.,Tá mé ag súil leis an samhradh.
643,I love walking on the beach.,Is breá liom siúlóid ar an trá.
644,My hair can be frizzy.,Bíonn mo chuid gruaige go fíochmhar.
645,The day is turning to dusk.,Bíonn an lá ag dul chun greille.
646,I live in the city center.,Tá mé i mo chónaí i lár na cathrach.
647,Life is difficult.,Tá sé deacair ar an saol.
648,I am looking for a new job.,Tá mé ag lorg post nua.
649,The music was beautiful.,Bhí an ceol go hálainn.
650,The flowers are growing in the garden.,Tá na bláthanna ag fás sa ghairdín.
651,I am waiting for the bus.,Tá mé ag fanacht le haghaidh an bhus.
652,I am studying Irish.,Tá mé ag staidéar Gaeilge.
653,The tide is coming in.,Tá an teacht isteach ag dul.
654,The sun is splitting the stones.,Tá an ghrian ag scoilteadh na gcloch.
655,My heart is inside you.,Tá mo chroí istigh ionat.
656,The day is passing quickly.,Tá an lá ag dul thart go tapa.
657,I am lucky today.,Tá an t-ádh liom inniu.
658,The water is leaking in the bed.,Tá an t-uisce ag sleamhnú sa leaba.
659,I don't know where my school bag is.,Níl a fhios agam cá bhfuil mo mhála scoile.
660,The fish are swimming around in the lake.,Tá na héisc ag magadh timpeall sa loch.
661,He had a few drinks during the festival.,D'ól sé cúpla deoch le linn an bhFéile.
662,They left the house without any exception.,D'fhág siad an teach gan aon eisceacht.
663,I entered the reading competition.,Chuir mé isteach ar an gcomórtas léitheoireachta.
664,The weather was lovely last night.,Bhí an aimsir go hiontach aréir.
665,I researched the information that's available.,Rinne mé iniúchadh ar an eolas atá ar fáil.
666,He is cleaning the closets in the living room.,Tá sé ag glanadh na gcófraí sa seomra suite.
667,The trip to Social was very enjoyable.,Bhí an turas go Sóisialta iontach taitneamhach.
668,They left the house in the morning.,D'fhág siad an teach ar maidin.
669,They were talking about the players.,Bhí siad ag caint faoi na himreoirí.
670,I was watching that movie yesterday.,Bhí mé ag féachaint ar an scannán sin inné.
671,He wrote that poem during working life.,Scríobh sé an dán sin le linn an tsaoil oibre.
672,He has taken the message well.,Tá an teachtaireacht curtha in aigne go maith aige.
673,The party was very fun.,Bhí an páirtí iontach spraoiúil.
674,The children were playing in the public park.,Bhí na páistí ag imirt sa pháirc phoiblí.
675,The train could be slow.,D'fhéadfadh an traein a bheith mall.
676,The playing field is owned by both teams.,Tá an pháirc imeartha ag an dá fhoireann.
677,I saw that story on the news.,Chonaic mé an scéal sin ar an nuacht.
678,He's buying salmon for the party.,Tá sé ag ceannach turtar éisc don chóisir.
679,The road was covered in snow.,Bhí an lámh in uachtar ag an mbóthar.
680,I don't understand what you're saying.,Ní thuigim an rud atá á rá agat.
681,The water is suddenly flowing in the stream.,Tá an t-uisce ag rith go tobann sa sruth.
682,I'm going to the clothes shop.,Tá mé ag dul go dtí an siopa éadaigh.
683,The weather was nice today.,Bhí an t-aer go breá inniu.
684,The house is being built now.,Tá an teach á dhéanamh suas anois.
685,I didn't know you were here.,Ní raibh a fhios agam go raibh tú anseo.
686,The day is beautiful today.,Tá an lá go hálainn inniu.
687,The food is all enjoyable.,Tá an bia ar fad pléisiúrach.
688,That story is old enough.,Tá an scéal sin sean go leor.
689,The shop is selling the card.,Tá an cárta a dhíol ag an siopa.
690,He's reading a funny book.,Tá sé ag léamh leabhar greannmhar.
691,The house is empty now.,Tá an teach folamh anois.
692,All the brown hats are late.,Tá na hataí donn déanach ar fad.
693,The black curtain is torn.,Tá an chuirtín dubh scaoilte.
694,The company is coming at 8 o'clock.,Tá an chuideachta ag teacht ag 8 a chlog.
695,The donkey is flying over the hills.,Tá an t-asal ag eitilt os cionn na gcnoc.
696,The game is ready for the competition.,Tá an chluiche réidh le haghaidh an chomórtais.
697,The knife is ready for the work.,Tá an scian sásta le haghaidh an obair.
698,I thought this was correct.,Shíl mé go raibh sé seo ceart.
699,I asked her what happened.,D'fhiafraigh mé di céard a tharla.
700,I went to the shop.,D'imigh mé chuig an siopa.
701,Maybe she will come.,B'fhéidir go dtiocfaidh sí.
702,I ordered the food.,D'ordaigh mé an bia.
703,I want to get that.,Tá mé ag iarraidh é sin a fháil.
704,He doesn't live here.,Níl sé ina chónaí anseo.
705,I wrote a letter to my friend.,Scríobh mé litir chuig mo chara.
706,He said he wouldn't do that again.,Dúirt sé nach ndéanfadh sé é sin arís.
707,I ate bread and butter.,D'ith mé arán agus im.
708,What do you think about that?,Céard a cheapann tú faoi sin?
709,He is looking forward to the show.,Tá sé ag súil leis an seó.
710,I spent the money on something else.,Chaith mé an t-airgead ar rud éigin eile.
711,She was talking to that man.,Bhí sí ag caint leis an bhfear sin.
712,She said it's too crowded.,Dúirt sí go bhfuil sé róthéagarach.
713,I heard that story before.,Chuala mé an scéal sin cheana.
714,I ate my dinner recently.,D'ith mé mo dhinnéar le déanaí.
715,I don't know what happened.,Níl a fhios agam cad a tharla.
716,The shipment fell off from the airport.,Thit an láimhseáil ón aerfort.
717,It could be better.,D'fhéadfadh sé a bheith níos fearr.
718,The sun is splitting the stones.,Tá an ghrian ag scoilteadh na gcloch.
719,It's beautiful today.,Tá sé go hálainn inniu.
720,I like to go for a walk in the park.,Is maith liom bheith ag siúl sa pháirc.
721,I can't wait that long.,Ní féidir liom fanacht chomh fada sin.
722,"The window is open, it's cold.","Tá an fhuinneog oscailte, tá sé fuar."
723,The food is delicious.,Tá an bia iontach blasta.
724,The weather is very cold today.,Tá an aimsir an-fhuar inniu.
725,The box is full for the new site.,Tá an cófra lán le haghaidh an tsuímh nua.
726,This house is for rent.,Tá an teach seo ar cíos.
727,I don't understand what you're saying.,Ní thuigim an méid atá á rá agat.
728,The cat is playing with the mice.,Tá an cat ag súgradh leis na luchóga.
729,I want to go out tonight.,Tá mé ag iarraidh dul amach anocht.
730,The sun is setting.,Tá an grian ag dul faoi.
731,The room is empty.,Tá an seomra folamh.
732,The car is clean.,Tá an carr glan.
733,The water is hot.,Tá an t-uisce te.
734,He is talking to you.,Tá sé ag caint leat.
735,The TV is broken.,Tá an teilifís briste.
736,The bus is slow.,Tá an bus mall.
737,The house is currently under construction.,Tá an teach ina thógáil faoi láthair.
738,The birds are singing in the garden.,Tá na héin ag seinm sa ghairdín.
739,The car is swaying on the road.,Tá an carr ag luascadh ar an mbóthar.
740,She opened the door slowly.,D'oscail sí an doras go mall.
741,The sun has been shining for years.,Bhí an ghrian ag sileadh le blianta fada.
742,The leaves are falling from the tree.,Tá na duilleoga ag titim ón gcrann.
743,I went to the shop alone.,Chuaigh mé go dtí an siopa le haonair.
744,They left the house without permission.,D'fhág siad an teach gan choinne.
745,The weather is bad today.,Tá an aimsir go dona inniu.
746,He said he would be there at two o'clock.,Dúirt sé go mbeadh sé ann ar a dó a chlog.
747,They made bread and cake last night.,Rinne siad arán agus cáca aréir.
748,The rain was pouring heavily.,Bhí an bháisteach ag séideadh go láidir.
749,I woke up early today.,D'éirigh mé go luath inniu.
750,The house is growing difficult to access on the road.,Tá an teach ag fás deacair le teacht ar an mbóthar.
751,He was taking pictures for an hour.,Bhí sé ag tógáil pictiúr ar feadh na huaire.
752,I listened to music all day.,D'éist mé le ceol ar feadh an lae.
753,The children are playing in the park.,Tá na páistí ag imirt sa pháirc.
754,He wrote a letter to his friend yesterday.,Scríobh sé litir chuig a chara inné.
755,This book is difficult to read.,Tá an leabhar seo deacair a léamh.
756,I ate a sandwich and a cup of tea for breakfast.,D'ith mé ceapaire agus cupán tae don bhricfeasta.
757,I could go to the shop with you.,D'fhéadfainn dul go dtí an siopa leat.
758,The sun is shining high in the sky.,Tá an ghrian ag taitneamh go hard sa spéir.
759,I like to go shopping with my friend.,Is maith liom dul ag siopadóireacht le mo chara.
760,This book is excellent.,Tá an leabhar seo go hiontach.
761,The food is in the fridge.,Tá an bia sa chuisneoir.
762,I didn't know you were home.,Ní raibh a fhios agam go raibh tú sa bhaile.
763,The weather is really bad today.,Tá an aimsir go dona inniu.
